property_type,sector,area,areaWithType,bedRoom,bathroom,balcony,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,store room,furnishing_type,area_room_ratio,luxury_category,floor_category,price
0.0,59.0,2605.0,2008.0,3,3,4.0,1.0,0.0,2605.0,2600.0,2100.0,1,0,1,868.3333333333334,0.0,2.0,2.97
0.0,100.0,1929.0,1627.0,3,3,3.0,0.0,3.0,1929.0,1700.0,1548.0,0,0,1,643.0,0.0,0.0,1.59
0.0,97.0,1900.0,1608.0,3,3,3.0,0.0,3.0,1900.0,1600.0,1240.04,1,0,1,633.3333333333334,0.0,2.0,1.75
0.0,107.0,1600.0,1642.0,3,3,3.0,6.0,3.0,1935.0,1700.0,1600.0,1,0,0,533.3333333333334,1.0,2.0,0.72
0.0,16.0,1450.0,1350.0,3,3,3.0,1.0,3.0,1615.0,1550.0,1450.0,0,0,1,483.3333333333333,2.0,2.0,1.4
0.0,45.0,1765.0,1504.0,3,4,3.0,5.0,3.0,1765.0,1665.0,1565.0,0,0,0,588.3333333333334,2.0,2.0,1.22
0.0,19.0,2690.0,2024.0,3,4,4.0,2.0,3.0,2690.0,2350.0,2170.0,1,0,0,896.6666666666666,0.0,2.0,2.78
0.0,45.0,1735.0,1448.0,3,4,3.0,6.0,3.0,1735.0,1635.0,1535.0,0,0,0,578.3333333333334,2.0,2.0,1.2
0.0,45.0,1763.0,1501.0,3,3,3.0,3.0,3.0,1763.0,1350.0,1234.0,0,0,0,587.6666666666666,1.0,2.0,1.25
0.0,19.0,1859.0,1856.0,3,3,3.0,1.0,1.0,2217.0,2098.0,1859.0,1,0,0,619.6666666666666,0.0,2.0,2.33
0.0,99.0,1250.0,1369.0,2,2,3.0,0.0,1.0,1640.0,1550.0,1250.0,0,0,0,625.0,2.0,0.0,1.04
0.0,99.0,1475.0,1269.0,3,3,2.0,7.0,0.0,1475.0,1350.0,1250.0,0,0,0,491.6666666666667,1.0,2.0,0.72
0.0,111.0,1930.0,1896.0,4,5,4.0,5.0,3.0,2352.0,2150.0,1930.0,1,0,0,482.5,1.0,1.0,1.38
0.0,10.0,1760.0,1495.0,3,4,4.0,2.0,3.0,1760.0,1186.0,1130.0,1,0,0,586.6666666666666,0.0,2.0,1.25
0.0,99.0,1986.0,1672.0,4,4,3.0,0.0,0.0,1975.0,1575.0,1435.0,0,0,1,496.5,1.0,2.0,0.9
0.0,91.0,1500.0,1304.0,2,2,3.0,0.0,1.0,1530.0,1350.0,1200.0,0,0,1,750.0,2.0,2.0,1.35
0.0,10.0,1403.0,1898.0,4,5,4.0,5.0,3.0,2355.0,1535.0,1403.0,1,0,0,350.75,1.0,2.0,1.34
0.0,97.0,1735.0,1445.0,3,3,2.0,5.0,3.0,1735.0,1200.0,1126.0,1,1,1,578.3333333333334,0.0,2.0,1.12
0.0,83.0,1976.0,1678.0,3,3,4.0,0.0,1.0,1976.0,1900.0,1500.0,1,0,0,658.6666666666666,2.0,2.0,1.66
0.0,29.0,1380.0,1206.0,2,2,2.0,2.0,1.0,1380.0,1285.0,1280.0,1,0,0,690.0,1.0,2.0,1.99
0.0,77.0,2047.0,1750.0,3,3,4.0,2.0,3.0,2047.0,1900.0,1800.0,0,1,1,682.3333333333334,0.0,2.0,3.0
0.0,113.0,567.0,2212.0,2,2,2.0,0.0,3.0,567.0,500.0,467.0,0,0,1,283.5,1.0,2.0,0.28
0.0,8.0,3150.0,2107.0,4,4,4.0,2.0,3.0,3150.0,2800.0,2400.0,1,1,1,787.5,0.0,0.0,2.52
0.0,63.0,2100.0,1775.0,3,3,4.0,2.0,0.0,2100.0,2000.0,1900.0,0,0,1,700.0,2.0,2.0,1.55
0.0,13.0,1320.0,1471.0,3,3,3.0,0.0,3.0,1745.0,1550.0,1320.0,0,0,0,440.0,2.0,0.0,1.7
0.0,94.0,2660.0,2016.0,3,4,4.0,0.0,3.0,2660.0,2280.0,1950.0,1,0,1,886.6666666666666,1.0,2.0,2.3
0.0,87.0,1200.0,1223.0,2,2,3.0,2.0,3.0,1400.0,1300.0,1200.0,0,1,0,600.0,0.0,0.0,1.48
0.0,63.0,4072.0,2165.0,4,5,4.0,1.0,0.0,4072.0,3000.0,2800.0,1,0,2,1018.0,0.0,0.0,10.0
0.0,101.0,1725.0,1824.0,4,4,3.0,0.0,1.0,2175.0,1745.0,1725.0,1,0,0,431.25,2.0,1.0,2.1
0.0,45.0,925.0,2284.0,2,2,1.0,0.0,3.0,925.0,850.0,800.0,0,0,1,462.5,0.0,2.0,0.35
0.0,70.0,1350.0,1302.0,2,3,2.0,2.0,3.0,1524.0,1520.0,1350.0,0,1,1,675.0,0.0,1.0,2.05
0.0,76.0,1337.0,1157.0,2,3,3.0,4.0,3.0,1337.0,1330.0,1050.0,1,0,1,668.5,2.0,1.0,1.5
0.0,87.0,1427.0,1240.0,2,2,4.0,4.0,3.0,1424.0,1300.0,1100.0,0,0,0,713.5,2.0,2.0,1.57
0.0,79.0,1950.0,1658.0,3,3,4.0,2.0,3.0,1950.0,1845.0,1530.0,0,0,1,650.0,2.0,0.0,1.8
0.0,56.0,1707.0,1426.0,3,3,3.0,1.0,2.0,1707.0,1600.0,1400.0,0,0,1,569.0,2.0,1.0,1.5
0.0,46.0,2191.0,1834.0,4,4,3.0,7.0,3.0,2191.0,2100.0,1800.0,0,0,1,547.75,2.0,2.0,1.75
0.0,99.0,1150.0,1201.0,2,2,2.0,3.0,3.0,1375.0,1250.0,1150.0,0,0,1,575.0,0.0,2.0,0.67
0.0,75.0,2700.0,2090.0,3,3,4.0,2.0,3.0,2979.0,2800.0,2700.0,1,0,1,900.0,0.0,0.0,5.0
0.0,57.0,2033.0,1740.0,3,3,3.0,7.0,3.0,2033.0,2030.0,1750.0,0,0,0,677.6666666666666,1.0,0.0,2.35
0.0,6.0,2598.0,2000.0,3,3,3.0,2.0,3.0,2598.0,2200.0,2000.0,1,0,0,866.0,1.0,0.0,2.61
0.0,99.0,916.0,1508.0,2,2,3.0,2.0,3.0,1772.0,1300.0,916.0,0,1,0,458.0,2.0,0.0,1.22
0.0,75.0,3000.0,2125.0,3,3,3.0,0.0,3.0,3246.0,3245.0,3000.0,1,0,1,1000.0,0.0,1.0,5.0
0.0,16.0,1929.0,1624.0,3,3,4.0,2.0,3.0,1929.0,1548.0,1300.0,0,0,1,643.0,0.0,2.0,1.6
0.0,19.0,1960.0,2023.0,3,4,3.0,3.0,3.0,2690.0,2150.0,1960.0,1,0,0,653.3333333333334,0.0,2.0,3.05
0.0,105.0,1744.0,1465.0,3,3,3.0,1.0,3.0,1744.0,1630.0,1290.0,0,0,1,581.3333333333334,2.0,0.0,1.17
0.0,56.0,1910.0,1612.0,3,3,3.0,3.0,2.0,1910.0,1700.0,1600.0,0,0,1,636.6666666666666,2.0,0.0,1.6
0.0,89.0,1822.0,1557.0,3,3,3.0,0.0,3.0,1822.0,1600.0,1400.0,0,0,0,607.3333333333334,1.0,2.0,1.05
0.0,94.0,2103.0,1783.0,3,3,4.0,2.0,3.0,2103.0,1650.0,1257.0,1,0,2,701.0,1.0,0.0,2.4
0.0,45.0,925.0,2284.0,2,2,1.0,7.0,3.0,925.0,850.0,800.0,0,0,1,462.5,0.0,2.0,0.33
0.0,12.0,734.0,1131.0,2,3,3.0,6.0,3.0,1283.0,978.23,734.43,1,0,1,367.0,2.0,1.0,0.87
0.0,113.0,1538.0,1261.0,2,2,4.0,4.0,4.0,1457.0,1050.0,849.0,0,0,0,769.0,2.0,2.0,0.95
0.0,19.0,965.0,1127.0,2,2,3.0,2.0,1.0,1276.0,1090.0,965.0,0,0,0,482.5,0.0,2.0,1.35
0.0,59.0,1836.0,1566.0,3,3,4.0,0.0,0.0,1836.0,1830.0,1500.0,0,0,1,612.0,0.0,0.0,1.82
0.0,19.0,1150.0,1330.0,2,2,3.0,6.0,1.0,1573.0,1350.0,1150.0,0,0,0,575.0,0.0,2.0,1.38
0.0,62.0,3390.0,2136.0,4,5,4.0,4.0,3.0,3390.0,3000.0,2500.0,1,0,1,847.5,0.0,2.0,6.5
0.0,87.0,1200.0,1223.0,2,2,3.0,2.0,3.0,1400.0,1300.0,1200.0,0,1,0,600.0,0.0,0.0,1.5
0.0,105.0,1755.0,1487.0,3,3,4.0,4.0,3.0,1755.0,1600.0,1400.0,0,0,0,585.0,2.0,2.0,1.24
0.0,16.0,3880.0,2159.0,5,5,2.0,0.0,3.0,3880.0,3500.0,3000.0,1,0,0,776.0,0.0,2.0,4.1
0.0,76.0,1472.0,1268.0,2,3,3.0,5.0,3.0,1472.0,1470.0,1251.0,1,0,1,736.0,2.0,0.0,1.85
0.0,94.0,735.0,2265.0,2,2,3.0,4.0,3.0,735.0,700.0,635.0,0,0,0,367.5,2.0,2.0,0.49
0.0,100.0,1930.0,1636.0,3,3,3.0,4.0,3.0,1930.0,1900.0,1720.0,0,0,0,643.3333333333334,1.0,2.0,1.55
0.0,56.0,2430.0,1953.0,3,3,3.0,4.0,2.0,2430.0,2200.0,1800.0,1,0,1,810.0,2.0,2.0,1.75
0.0,84.0,639.0,2245.0,2,2,1.0,5.0,3.0,639.0,600.0,541.0,0,0,1,319.5,1.0,2.0,0.55
0.0,76.0,1700.0,1617.0,3,4,2.0,2.0,3.0,1920.0,1800.0,1700.0,1,0,1,566.6666666666666,0.0,0.0,2.1
0.0,52.0,5200.0,2202.0,4,5,3.0,2.0,0.0,5200.0,5000.0,4900.0,1,0,2,1300.0,2.0,2.0,8.44
0.0,57.0,2070.0,1757.0,3,4,3.0,7.0,3.0,2070.0,2061.0,1750.0,0,0,0,690.0,1.0,1.0,2.38
0.0,63.0,2200.0,1840.0,3,3,4.0,2.0,0.0,2200.0,2100.0,2000.0,1,0,1,733.3333333333334,2.0,2.0,1.75
0.0,98.0,1918.0,1614.0,3,3,3.0,2.0,3.0,1918.0,1650.0,1550.0,0,0,1,639.3333333333334,0.0,2.0,1.24
